Hashtag name,Link,Initials
noticiastiktok,https://www.tiktok.com/tag/noticiastiktok,AH
noticiasen1minuto,https://www.tiktok.com/tag/noticiasen1minuto,AH
noticias,https://www.tiktok.com/tag/noticias,AH
newsupdate,https://www.tiktok.com/tag/newsupdate,AH
inflation,https://www.tiktok.com/tag/inflation,DL
chinesepolitics,https://www.tiktok.com/tag/chinesepolitics,DL
climatechange,https://www.tiktok.com/tag/climatechange,DL
climategoals,https://www.tiktok.com/tag/climategoals,DL
currentnews,https://www.tiktok.com/tag/currentnews,DL
governmentshutdown,https://www.tiktok.com/tag/governmentshutdown,SL
learnontiktok,https://www.tiktok.com/tag/learnontiktok,SL
trumptrial,https://www.tiktok.com/tag/trumptrial,SL
historytok,https://www.tiktok.com/tag/historytok,SL
trumprally,https://www.tiktok.com/tag/trumprally,SL
nato,https://www.tiktok.com/tag/nato,SL
trump,https://www.tiktok.com/tag/trump,MG
crime,https://www.tiktok.com/tag/crime,MG
michigan,https://www.tiktok.com/tag/michigan,MG
conservative,https://www.tiktok.com/tag/conservative,MLH
rightwing,https://www.tiktok.com/tag/rightwing,MLH
vote,https://www.tiktok.com/tag/vote,MLH
fake news,https://www.tiktok.com/tag/fakenews,MLH
ballot,https://www.tiktok.com/tag/ballot,MLH
israel,https://www.tiktok.com/tag/israel,MG
usapolitics,https://www.tiktok.com/tag/usapolitics,MG
usaelections,https://www.tiktok.com/tag/usaelections,MG
uselections,https://www.tiktok.com/tag/uselections,MG
joebiden,https://www.tiktok.com/tag/joebiden,MG
2024debate,https://www.tiktok.com/tag/2024debate,MG
hamas,https://www.tiktok.com/tag/hamas,JK
crimetok,https://www.tiktok.com/tag/crimetok,JK
breaking,https://www.tiktok.com/tag/breaking,JK
climate,https://www.tiktok.com/tag/climate,JK
supremecourt,https://www.tiktok.com/tag/supremecourt,JK
politics,https://www.tiktok.com/tag/politics,MD
abortion,https://www.tiktok.com/tag/abortion,MD
unemployment,https://www.tiktok.com/tag/unemployment,MD
ceasefire,https://www.tiktok.com/tag/ceasefire,MD
protests,https://www.tiktok.com/tag/protests,MD
internationalnews ,https://www.tiktok.com/tag/internationalnews,JL
usnews,https://www.tiktok.com/tag/usnews,JL
pandemic,https://www.tiktok.com/tag/pandemic,JL
vaccines,https://www.tiktok.com/tag/vaccines,JL
technews,https://www.tiktok.com/tag/technews,JL
liveupdates,https://www.tiktok.com/tag/liveupdates,JK2
topstories,https://www.tiktok.com/tag/topstories,JK2
newsalert,https://www.tiktok.com/tag/newsalert,JK2
blacklivesmatter,https://www.tiktok.com/tag/blacklivesmatter,JK2
mediawatch,https://www.tiktok.com/tag/mediawatch,JK2
PoliticalCommentary,https://www.tiktok.com/tag/political-commentary?lang=en,DAK
palestine,https://www.tiktok.com/tag/palestine?lang=en,DAK
berita,https://www.tiktok.com/tag/berita?lang=en,DAK
worldnews,https://www.tiktok.com/tag/worldnews?lang=en,DAK
trump2024,https://www.tiktok.com/tag/trump2024?lang=en,DAK
election2024,https://www.tiktok.com/tag/election2024,SS
yahoonews,https://www.tiktok.com/tag/yahoonews,SS
abcnews,https://www.tiktok.com/tag/abcnews,SS
russia,https://www.tiktok.com/tag/russia,SS
scotus,https://www.tiktok.com/tag/scotus,SS
thedemocrats,https://www.tiktok.com/tag/thedemocrats,FG
breakingnews,https://www.tiktok.com/tag/breakingnews,FG
currentevents,https://www.tiktok.com/tag/currentevents,FG
uknews,https://www.tiktok.com/tag/uknews,FG
goodnews,https://www.tiktok.com/tag/goodnews,FG
新闻,https://www.tiktok.com/tag/%E6%96%B0%E9%97%BB,JY
أخبار,https://www.tiktok.com/tag/%D8%A7%D8%AE%D8%A8%D8%A7%D8%B1,JY
参議院,https://www.tiktok.com/tag/%E5%8F%82%E8%AD%B0%E9%99%A2,JY
aktualności,https://www.tiktok.com/tag/aktualno%C5%9Bci,JY
новости,https://www.tiktok.com/tag/%D0%BD%D0%BE%D0%B2%D0%BE%D1%81%D1%82%D0%B8,JY
unitednations,https://www.tiktok.com/search/video?q=%23unitednations&t=1709611403781,SL
quicknews,https://www.tiktok.com/search/video?q=%23quicknews&t=1709611479361,SL
fashionnews,https://www.tiktok.com/search/video?q=%23fashionnews&t=1709611588907,SL
houseofrepresentatives,https://www.tiktok.com/search/video?q=%23houseofrepresentatives&t=1709611823249,SL
cnbc,https://www.tiktok.com/search/video?q=%23cnbc&t=1709611869820,SL
cnn,https://www.tiktok.com/tag/cnn,LG
constitution,https://www.tiktok.com/tag/constitution,LG
foxnews,https://www.tiktok.com/tag/foxnews,LG
msnbc,https://www.tiktok.com/tag/msnbc,LG
putin,https://www.tiktok.com/tag/putin,LG
tiktokでニュース,https://www.tiktok.com/@tbsnewsdig/video/7304951942516624642?q=%23%E3%83%8B%E3%83%A5%E3%83%BC%E3%82%B9&t=1709619107761,MM
oregonnews,https://www.tiktok.com/@hebewiththenews/video/7341328641558662443?q=news&t=1709619185222,MM
localnews,https://www.tiktok.com/@fox29philadelphia/video/7342590348536958238?q=news&t=1709619185222,MM
geonews,https://www.tiktok.com/@news.show.h24/video/7324993062046862625?q=news&t=1709619185222,MM
healthnews,https://www.tiktok.com/@cbseveningnews/video/7342693770225257759?q=news&t=1709619185222,MM
breakingnewsalert,https://www.tiktok.com/search/video?q=%23breakingnewsalert&t=1709657854741,AK
breakingnews2024,https://www.tiktok.com/search/video?q=%23breakingnews2024&t=1709657863645,AK
2024breakingnews,https://www.tiktok.com/search/video?q=%232024breakingnews&t=1709657871911,AK
nbcnews,https://www.tiktok.com/search/video?q=%23nbcnews&t=1709657930024,AK
abcnews,https://www.tiktok.com/tag/abcnews,AK
NewsTok,https://www.tiktok.com/tag/Newstok,AY
viralnews,https://www.tiktok.com/tag/viralnews,AY
militarynews ,https://www.tiktok.com/tag/militarynews,AY
trendingnews,https://www.tiktok.com/tag/trendingnews,AY
newsweek,https://www.tiktok.com/tag/newsweek,AY
congress,https://www.tiktok.com/tag/congress,EP
townhall,https://www.tiktok.com/tag/townhall,EP
supertuesday,https://www.tiktok.com/tag/supertuesday,EP
reproductiverights,https://www.tiktok.com/tag/reproductiverights,EP
netanyahu,https://www.tiktok.com/tag/netanyahu,EP
stateoftheunion,https://www.tiktok.com/tag/stateoftheunion,EP
newsafrica,https://vm.tiktok.com/ZMMj1VU9T/,FN
kenyanews,https://vm.tiktok.com/ZMMj1pmB1/,FN
elections2022🇰🇪,https://vm.tiktok.com/ZMMjJLL2t/,FN
azimio,https://vm.tiktok.com/ZMMj1oEhD/,FN
citizentvkenya,https://vm.tiktok.com/ZMMjJe4pC/,FN
oscars,https://www.tiktok.com/tag/oscars,SH
sports,https://www.tiktok.com/tag/sports,SH
football,https://www.tiktok.com/tag/football,SH
internationalwomensday,https://www.tiktok.com/tag/internationalwomensday,SH
police,https://www.tiktok.com/tag/police,SH
nyt,https://www.tiktok.com/tag/nyt,SH
nytimes,https://www.tiktok.com/tag/nytimes,SH
